"GEOID","NAME","state_name","total_pop","pct_female","pct_male","pct_white","pct_black","pct_am_indian","pct_asian","pct_pacificI","pct_other","pct_two_or_more","pct_divorced","pct_hs_or_higher","pct_ba_or_higher","pct_doctorate","pct_uninsured","med_household_income"
"49017","Garfield County","Utah",5170,48.2011605415861,51.7988394584139,94.7001934235977,0.135396518375242,2.06963249516441,0,0.483558994197292,0.928433268858801,1.68278529980658,0.105827505827506,95.0784207679827,32.0173066522445,0.811249323958897,0.123478954717734,61688
"49019","Grand County","Utah",9697,48.5407858100443,51.4592141899557,84.1084871609776,0.0206249355470764,3.9393626894916,1.10343405176859,1.42312055274827,3.73311333402083,5.67185727544601,0.166360631656261,94.2575406032483,34.7302784222738,0.870069605568445,0.1257920432118,62521
"49021","Iron County","Utah",60201,50.1270743010913,49.8729256989087,87.8257836248567,0.631218750519094,1.59631899802329,1.03984983638146,0.330559293034999,2.37869802827196,6.19757146891248,0.092797902969361,93.1677383364162,30.3062333010364,1.39757479667636,0.0930570640822124,65527
"49023","Juab County","Utah",12273,47.3478367147397,52.6521632852603,93.840136885847,0.725169070316956,1.05108775360548,0,0.00814796708221299,0.472582090768353,3.90287623238002,0.0786554621848739,92.4606580829757,20.2288984263233,0.629470672389127,0.069836308299745,89803
"49025","Kane County","Utah",7996,49.0495247623812,50.9504752376188,90.7828914457229,0.225112556278139,2.18859429714857,0.137568784392196,0.087543771885943,2.3511755877939,4.22711355677839,0.143581081081081,94.7304347826087,32.1391304347826,0.0173913043478261,0.0784036956242782,75000
"49027","Millard County","Utah",13179,48.3724106533121,51.6275893466879,86.0839213900903,0.356627968738144,1.47962667880719,1.70726155246984,0.144168753319675,5.78192579103119,4.44646786554367,0.0868676545733265,91.3147310206134,23.0517848164907,1.23177476118653,0.115092457607611,70877
"49029","Morgan County","Utah",12585,48.1207787048073,51.8792212951927,94.326579261025,0.158919348430671,0.143027413587604,0.262216924910608,0.524433849821216,1.74811283273739,2.83671036948749,0.063928919709611,97.580081130228,38.8445936494615,1.56665267869632,0.0504295259306395,126092
"49031","Piute County","Utah",1705,46.9208211143695,53.0791788856305,95.7771260997067,0.117302052785924,0,0,0,1.87683284457478,2.22873900293255,0.0905349794238683,85.6282271944923,19.0189328743546,0.774526678141136,0.0965068087625814,44650
"49033","Rich County","Utah",2588,49.2658423493045,50.7341576506955,89.5285935085008,0,0.425038639876352,0.0386398763523957,0,4.28902627511592,5.71870170015456,0.0568720379146919,95.5056179775281,24.4694132334582,1.06117353308365,0.072839984502131,76875
"49035","Salt Lake County","Utah",1184689,49.4636145013586,50.5363854986414,72.7828991406183,1.80114781178858,0.974010900751168,4.13382752773091,1.56437681112933,9.0845783154904,9.65915949249128,0.102310843071276,91.7089183652593,38.6302056147327,1.74257108908398,0.0957768920242262,94658
"49037","San Juan County","Utah",14466,49.6059726254666,50.3940273745334,46.6542236969446,0.117516936264344,45.9491220793585,0.49771878888428,0.407852896446841,3.03470206000277,3.33886354209871,0.0732532265242546,87.727170742652,20.2378281355172,0.493605564280906,0.182715876461937,54890
"49039","Sanpete County","Utah",29209,46.6705467492896,53.3294532507104,86.6719161902153,0.883289397103632,0.896983806361053,0.852476976274436,0.51696394946763,6.41925433941593,3.75911534116197,0.0885416666666667,90.749718151071,23.1792559188275,1.50507328072153,0.110130214080777,67459
"49041","Sevier County","Utah",21854,48.7462249473781,51.2537750526219,92.9074768921021,0.196760318477167,0.576553491351698,0.338610780635124,0.187608675757298,1.85778347213325,3.93520636954333,0.0806604331873595,92.6806290310892,23.0596420030437,0.702949489093413,0.0851024295071306,73765
"49043","Summit County","Utah",42709,48.6150460090379,51.3849539909621,86.7428410873586,0.444871104451052,0.423798262661266,1.72329017303145,0.149851319394039,3.76267297290969,6.75267508019387,0.0942681056682388,95.0122451795385,58.0697457831741,2.78017315718671,0.0699333521073876,137058
"49045","Tooele County","Utah",76648,49.1545767665171,50.8454232334829,86.161413213652,0.842813902515395,0.317033712556101,0.774971297359357,0.868907212190794,2.84678008558606,8.18808057614028,0.0909793995640863,92.7231907025885,23.2017080471914,1.38888888888889,0.0633782470517164,101846
"49047","Uintah County","Utah",36458,49.5858247846837,50.4141752153163,84.0720829447583,0.518404739700477,5.52965055680509,0.726863788468923,0.115201053266773,1.30561193702342,7.73218497997696,0.124758723088344,89.341765140325,16.8343796159527,0.484675036927622,0.133528696229127,69861
"49049","Utah County","Utah",683622,49.2642132640553,50.7357867359447,83.7420387290052,0.672447639192419,0.549572717086343,1.47259742957365,0.810974485900103,4.04287749662825,8.70949150261402,0.0546189387966909,95.3813603055011,43.8363665554294,1.62928177429158,0.0766680578169912,96877
"49051","Wasatch County","Utah",35808,48.3886282394996,51.6113717605004,85.0508266309205,0.0558534405719392,0.354669347631814,1.40471403038427,0.136840929401251,6.06009830205541,6.93699731903485,0.0756469076894843,95.6474478010779,47.7195525159654,2.29177046061869,0.0756477266340696,115146
"49053","Washington County","Utah",189827,50.1472393284412,49.8527606715588,85.8939982194314,0.512571973428437,1.03304587861579,1.07940387826811,0.684307290322241,4.18960421857797,6.60706854135608,0.0894376508765681,94.3206487038692,33.2875750223471,1.88114544758013,0.118709314303312,76411
"49055","Wayne County","Utah",2557,48.5725459522878,51.4274540477122,94.5248337895972,0,0,0,0,0.117324990222917,5.3578412201799,0.104578313253012,95.6906077348066,25.1933701657459,1.49171270718232,0.111899133175729,70074
"49057","Weber County","Utah",266183,49.3660376507891,50.6339623492109,83.8689923849382,1.1225359996694,0.669088559374566,1.46590879207162,0.235927914254479,5.15960823944429,7.47793811024746,0.114724436875919,92.3467476798868,28.0494402596862,0.949447988442537,0.0872474026715378,87083
"50001","Addison County","Vermont",37497,50.2866896018348,49.7133103981652,90.7672613809105,1.06141824679308,0.154679040989946,2.08283329333013,0.085340160546177,0.898738565751927,4.94972931167827,0.11702812969723,95.0994588827071,43.4722963188781,3.13238320249981,0.046342315235204,88478
