"GEOID","NAME","male_pop","female_pop","total_pop","white_alone","black_alone","am_indian_alone","asian_alone","pacificI_alone","other_alone","two_or_more","pop_15_over","males_divorced","females_divorced","pop_25_over","highshool_grad","ged_alt_cred","some_college_less","some_college_more","associates","bachelors","masters","prof_school","doctorate","med_household_income","pct_female","pct_male","pct_white","pct_black","pct_am_indian","pct_asian","pct_pacificI","pct_other","pct_two_or_more","pct_divorced","pct_hs_or_higher","pct_ba_or_higher","pct_doctorate"
"17","Illinois",6270399,6422254,12692653,8038512,1750414,66990,738308,5514,920254,1172661,10395065,425993,579226,8738607,1885677,321869,585132,1119972,725140,1949199,952141,214504,133650,81702,50.5982003919905,49.4017996080094,63.3320078946458,13.790765413661,0.527785641031863,5.81681386862148,0.0434424544655873,7.25028880880932,9.23889591876497,0.0967015598267062,90.2579095272279,45.483610831795,1.52941996361663
"18","Indiana",3377011,3434741,6811752,5347678,630680,17208,172936,2345,213942,426963,5498986,302966,372124,4559304,1255818,240396,316228,574631,413494,835437,351821,70656,55172,70051,50.4237529493147,49.5762470506853,78.5066455737085,9.25870466217795,0.252622232870486,2.53878884610009,0.0344257982381038,3.14077787917117,6.26803500773369,0.122766269999596,90.2254598508895,37.8693765539653,1.21009697971445
"19","Iowa",1601453,1594484,3195937,2735263,123234,10998,78267,4396,64571,179208,2589918,124654,150229,2140476,564153,85816,153156,273570,258043,441400,154288,36061,28870,73147,49.8909709421681,50.1090290578319,85.5856357619064,3.85595836213292,0.344124430487835,2.44895315520925,0.137549645064968,2.02040903810056,5.60736960709801,0.106135792716217,93.2202463377305,42.9185844643902,1.34876541479559
"20","Kansas",1473655,1463914,2937569,2289052,159829,21898,86212,2586,115004,262988,2356927,117851,147044,1933293,416763,78352,155841,271705,174373,425528,188358,38098,27680,72639,49.8341996392255,50.1658003607745,77.9233440984705,5.44085943172739,0.745446319729,2.93480765898605,0.0880319747382955,3.91493782784336,8.95257268850536,0.112389989168099,91.9000896398011,44.1752491733017,1.43175400728188
"21","Kentucky",2233870,2276855,4510725,3774581,355237,7610,68482,3737,67198,233880,3666244,214425,262685,3078157,811378,195337,211881,402294,273445,489842,245008,60045,35961,62417,50.4764755111429,49.5235244888571,83.6801401105144,7.87538588586092,0.168709021277067,1.51820383641211,0.082846992445782,1.48973834583132,5.18497580765841,0.130135910212195,88.5332034720776,35.8753955694917,1.16826399693063
"22","Louisiana",2262822,2358203,4621025,2678942,1434953,27605,79925,2884,107185,289531,3717957,190181,247561,3110254,840320,171801,186982,456824,221133,521668,210724,57559,35843,60023,51.0320329364156,48.9679670635844,57.9728956238064,31.0526993470063,0.597378287284747,1.72959462456922,0.0624103959619349,2.31950703577669,6.26551468559465,0.117737241178421,86.9013913333123,33.6604984673277,1.152413918606
"23","Maine",678363,699037,1377400,1258122,23145,6237,15318,276,9593,64709,1172160,70067,87001,1016630,261066,49177,60790,124649,105594,223713,95805,23323,16482,71773,50.7504719035865,49.2495280964135,91.3403513866705,1.68033977058226,0.452809641353274,1.11209525192391,0.0200377522869174,0.696457093073907,4.69790910410919,0.133998771498771,94.4885553249461,45.7311903052241,1.62123879877635
"24","Maryland",3002079,3168659,6170738,3060731,1825880,23158,398305,2556,401540,458568,5035008,195760,297361,4272813,888392,125783,257672,497028,295192,959925,607433,135295,123392,101652,51.3497575168481,48.6502424831519,49.6007284704034,29.5893295096956,0.375287364331462,6.45473847698606,0.0414213016336134,6.50716332471092,7.43133155223897,0.0979384739805776,91.0433477898518,49.6449762720718,2.88783993121159
"25","Massachusetts",3416765,3575630,6992395,4945674,489390,16406,494890,2593,379870,663572,5875802,222431,326236,4945630,990099,139703,244163,468180,372377,1249640,739993,155415,160851,101341,51.1359841656543,48.8640158343457,70.7293280771467,6.99888950781528,0.234626333323561,7.07754639147245,0.0370831453314637,5.43261643542735,9.48991010948323,0.0933773806537388,91.4023289247275,54.1543948900342,3.25238645026013
"26","Michigan",4982079,5069516,10051595,7516312,1346689,46010,329676,2670,176786,633452,8288112,424823,532081,6967452,1687150,277388,536993,1010348,677567,1343511,643070,133714,92809,71149,50.4349409223113,49.5650590776887,74.7773064871794,13.3977642354273,0.457738299245045,3.27983767750292,0.0265629484673825,1.75878554597554,6.3020048062024,0.115455003503814,91.8922728136484,41.4882083148904,1.33203644603508
"27","Minnesota",2862134,2851582,5713716,4476710,388789,50833,289148,2376,151560,354300,4627442,209504,262240,3897590,798363,118381,253541,516793,457502,984748,373798,91034,63794,87556,49.9076607937811,50.0923392062189,78.3502365185809,6.80448590724495,0.889666199720112,5.06059454127577,0.0415841459393502,2.65256446067673,6.20086822656219,0.101944875808276,93.8516878378691,50.5665295734031,1.63675502041005
"28","Mississippi",1431521,1519917,2951438,1661873,1090777,13181,28918,1411,49104,106174,2384236,121748,154666,1970298,468923,120302,126171,303352,212287,290133,133964,29386,22514,54915,51.4975073167724,48.5024926832276,56.307230577095,36.9574763217117,0.446595862762491,0.979793578587793,0.0478072044881173,1.66373137433346,3.59736508102152,0.11593399311142,86.6382648716083,34.932989831995,1.14266978903699
"29","Missouri",3040690,3127491,6168181,4831646,686616,16830,127846,9681,106663,388899,5026601,270212,336386,4217432,1088422,191020,306530,580528,350970,824697,380529,82828,57176,68920,50.7036191058596,49.2963808941404,78.3317804714226,11.1315799584999,0.272851915337763,2.07266939799594,0.156950647200528,1.72924562362875,6.30492198591449,0.120677571185777,91.588910028662,40.2187871671671,1.3557065057599
"30","Montana",560035,545037,1105072,946776,6015,63108,9197,485,13423,66068,911593,53257,60394,770335,178305,36454,52844,120062,74782,175932,60840,16522,12772,69922,49.3214016824243,50.6785983175757,85.6755034966047,0.544308425152388,5.71075911795792,0.832253464027683,0.0438885430089623,1.21467198517382,5.97861496807448,0.124672962605022,94.5709334250683,44.246723827945,1.65797996975342
"31","Nebraska",987506,978420,1965926,1570391,93595,19581,49107,933,83156,149163,1564966,72160,90846,1290256,279083,45170,98859,183267,141387,286381,109152,26183,18518,74985,49.7689129702746,50.2310870297254,79.880473629221,4.76086078519741,0.996019178748335,2.49790683881285,0.0474585513391654,4.22986419631258,7.58741682036862,0.104159451387442,92.0747510571545,45.0779535224018,1.43521905730336
